direction,latitude,longitude,error
"431 Columbus Ave, Boston, MA 02116-5958",42.3441327,-71.0774061,False
"75 W Broadway, Boston, MA 02127-1015",42.3418023,-71.0557241,False
"250 Hanover St, Boston, MA 02113-2303",42.363158673469385,-71.05550057142857,False
"225 Northern Ave Seaport, Boston, MA 02210-2052",42.348660714285714,-71.03876920408163,False
"372 Congress St, Boston, MA 02210",42.3501724,-71.0477525,False
"10 City Sq, Boston, MA 02129-3740",42.372155,-71.061687,False
"70 Sleeper St Envoy Hotel, Boston, MA 02210",,,True
"1330 Boylston St, Boston, MA 02215-4229",42.3441085,-71.09831610963495,False
"279A Newbury St, Boston, MA 02116-2402",42.3509337,-71.0776021,False
"439 Tremont St, Boston, MA 02116-6304",42.3468371,-71.0691398,False
"53 Huntington Ave, Boston, MA 02199-7658",42.34783005,-71.07949303317757,False
"1 Marina Park Dr Use 55 Nothern Ave for Gps Purposes, Boston, MA 02210-1832",,,True
"107 State St, Boston, MA 02109-2908",42.359115,-71.054851,False
"425 Summer St # 0, Boston, MA 02210-1719",,,True
"682 Washington St, Boston, MA 02111-1614",42.3514781,-71.0626786,False
"120 Beverly St, Boston, MA 02114-2133",42.366347112244895,-71.06008915306123,False
"88 Sleeper St, Boston, MA 02210-1226",42.353709,-71.048734,False
"100 Atlantic Ave, Boston, MA 02110-3618",42.3621,-71.051048,False
"224 Boston St, Boston, MA 02125-1609",42.32214375,-71.0610015,False
"115 Stuart St, Boston, MA 02116-5609",42.351257,-71.0650021,False
"251 Main St, Boston, MA 02129-2914",42.376999,-71.066267,False
"131 Lexington St Eagle Hill, Boston, MA 02128-1604",42.378556,-71.035023,False
"45 Province St, Boston, MA 02108-4124",42.357051,-71.060062,False
"724 Huntington Ave, Boston, MA 02115-6313",42.3411763,-71.0867996,False
"272 Newbury St, Boston, MA 02116-2419",42.349147,-71.0834382,False
"279 Dartmouth St, Boston, MA 02116-2805",42.3511905,-71.07757468193716,False
"49 Melcher St, Boston, MA 02210-1514",42.34945,-71.0503389,False
"280 Fenway, Boston, MA 02115-5809",42.33885643352518,-71.09870037237938,False
"155 Seaport Blvd, Boston, MA 02210-2698",42.3500423,-71.0426929,False
"58 Hemenway St, Boston, MA 02115-2910",42.345030894736844,-71.08954410526316,False
"22R Birch St Roslindale, Boston, MA 02131-3008",42.286994,-71.129888,False
"387 Chelsea St, Boston, MA 02128-1494",42.37960278571429,-71.02732285714285,False
"98 Salem St, Boston, MA 02113-2222",42.364045,-71.055713,False
"222 Berkeley St, Boston, MA 02116-3748",42.3506879,-71.0732592,False
"250 Franklin St, Boston, MA 02110-2807",42.35645837830887,-71.05431636437623,False
"50 Milk St Lobby C, Boston, MA 02109-5003",,,True
"479 Cambridge St, Boston, MA 02134-2019",42.35380653972941,-71.13707663203375,False
"1395 Washington St, Boston, MA 02118-2009",42.34128125995245,-71.07002761394492,False
"348 Congress St, Boston, MA 02210-1204",42.3505525,-71.0485101,False
"371 Hanover St, Boston, MA 02113-1929",42.364877,-71.05323849999999,False
"160 Commonwealth Ave, Boston, MA 02116-2707",42.3513341,-71.0786016,False
"1 Faneuil Hall Market Pl Ste 36, Boston, MA 02109-6117",,,True
"1271 Boylston St The Verb Hotel, Boston, MA 02215-3410",,,True
"800 Boylston St Suite 155,Prudential Center, Boston, MA 02199",,,True
"581 Washington St, Boston, MA 02111-1718",42.3533122,-71.0626995,False
"21 Temple Pl, Boston, MA 02111-1305",42.3552498,-71.0623372,False
"Quincy Market Lower Level, Boston, MA 02109-1634",,,True
"552 Tremont St, Boston, MA 02118-3717",42.343861,-71.071614,False
"61 Brookline Ave, Boston, MA 02114",42.3469999,-71.0989887,False
"584 Tremont St, Boston, MA 02118-1603",42.34319875,-71.07289425,False
"1732 Centre St West Roxbury, Boston, MA 02132-1536",42.2842472,-71.1568328,False
"421 Cambridge St, Boston, MA 02134-1788",42.3551047,-71.1340698,False
"535 Columbus Ave, Boston, MA 02118-3410",42.3418295,-71.0805559,False
"73 Salem St, Boston, MA 02113-2215",42.36629642857143,-71.05475448979591,False
"150 Bowdoin St, Boston, MA 02108-2796",42.358461884084164,-71.06264988298122,False
"152 Dorchester Ave, Boston, MA 02127-1053",42.3416821,-71.0568841,False
"304 Stuart St, Boston, MA 02116-5242",42.3498265,-71.0706161,False
"510 Atlantic Ave, Boston, MA 02210-2210",42.353792,-71.05200652135551,False
"60 Long Wharf, Boston, MA 02110-3602",42.3601668,-71.04950700096464,False
"115 Water St, Boston, MA 02109-4823",42.3580814,-71.0546052,False
"206 Faneuil Hall Market Pl, Boston, MA 02109-1634",42.36005485,-71.05460485041264,False
"1918 Beacon St, Boston, MA 02135-7701",42.336445924707924,-71.14911169387399,False
"101 S Market St, Boston, MA 02109-6201",42.35787670272061,-71.1481779186927,False
"1363 Boylston St, Boston, MA 02215-3941",42.3440996,-71.1003174,False
"66 Hereford St, Boston, MA 02115-2802",42.3484657,-71.0853338,False
"324 A St Waterfront/Fort Point, Boston, MA 02210-1703",,,True
"470 Centre St Jamaica Plain, MA, Boston, MA 02130-2056",42.3191039,-71.1117021,False
"20 Ericsson St, Boston, MA 02122-3695",42.2916908,-71.040698,False
"695 Washington St, Boston, MA 02111-1611",42.3512206,-71.0630527,False
"250 Northern Ave, Boston, MA 02210-2027",42.348663,-71.038302,False
"220 Northern Ave, Boston, MA 02210-2066",42.3491313,-71.0388884,False
"384 Western Ave, Boston, MA 02135-1011",42.362806393939394,-71.13754645454546,False
"355 Congress St, Boston, MA 02210-1828",42.350181,-71.04844,False
"443 W Broadway, Boston, MA 02127-2218",42.3361625,-71.0470449,False
"1612 Commonwealth Avenue, Boston, MA 02135",42.34313562282864,-71.14291347717212,False
"1 International Pl Ste 190, Boston, MA 02110",,,True
"8 Park Plaza Space D-6 Spc D-6, Boston, MA 02116",,,True
"200 Atlantic Ave, Boston, MA 02110-3628",42.3599087,-71.0514427,False
"4 Avery St 4 TH Floor Ritz-Carlton, Boston Common, Boston, MA 02111-1005",,,True
"N Washington St, Boston, MA",42.3690083,-71.0601001,False
"2 West St At Corner of Washington Street, Boston, MA 02111-1204",,,True
"232 Tremont St, Boston, MA 02116-4706",42.35123,-71.0646747,False
"10 Huntington Ave, Boston, MA 02116",42.3485752,-71.0772032,False
"1 Beacon St, Boston, MA 02108-3107",42.3584467,-71.0608234840525,False
"7 N Market St Faneuil Hall Marketplace, Boston, MA 02109-6200",,,True
"520 Atlantic Ave, Boston, MA 02210-2210",42.3537855,-71.0528227,False
"1236 Dorchester Ave, Boston, MA 02125-1504",42.30836395,-71.05801623197664,False
"112 Canal St, Boston, MA 02114-1805",42.364473,-71.0603412,False
"116 Salem St, Boston, MA 02113-1706",42.364682,-71.055614,False
"343 Congress Street, Boston, MA 02210",42.3505865,-71.04938139175502,False
