name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible,price_range,category_1,category_2,category_3
"Top of the Hub, Boston","800 Boylston Street Prudential Center Boston, Boston, MA 02199","(2,947)","1,089",767,365,137,106,$$$$,American,Contemporary,Vegetarian Friendly
"Florentine Cafe, Boston","333 Hanover St, Boston, MA 02113-1910",(560),248,169,66,31,24,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Cask'n Flagon, Boston","62 Brookline Ave, Boston, MA 02215-3402",(504),186,198,67,18,19,$$ - $$$,American,Bar,Pub
"Legal Harborside, Boston","270 Northern Ave Liberty Wharf, Boston, MA 02210-2022","(2,532)","1,092",788,304,127,66,$$ - $$$,American,Seafood,Sushi
"South Street Diner, Boston","178 Kneeland St, Boston, MA 02111-2715",(454),189,141,42,17,17,$,American,Diner,Vegetarian Friendly
"Antico Forno, Boston","93 Salem St Outside Dining Available, Boston, MA 02113-2217",(995),396,335,110,52,36,$$ - $$$,Italian,Pizza,Vegetarian Friendly
"Aquitaine Bar a Vin Bistrot, Boston","569 Tremont St, Boston, MA 02118-3721",(432),210,124,41,22,12,$$ - $$$,French,European,Vegetarian Friendly
"Bell In Hand Tavern, Boston","45 Union St, Boston, MA 02108-2409",(916),318,350,128,40,18,$$ - $$$,American,Bar,Pub
Oishii Boston,"1166 Washington St, Boston, MA 02118-4113",(282),164,60,16,10,6,$$$$,Japanese,Sushi,Asian
"Lincoln Tavern and Restaurant, Boston","425 W Broadway, Boston, MA 02127-2218",(244),107,94,25,6,4,$$ - $$$,American,Bar,Pub
"The Oceanaire Seafood Room, Boston","40 Court St, Boston, MA 02108",(655),321,157,77,33,11,$$$$,American,Seafood,Vegetarian Friendly
"Tasty Burger, Boston","1301 Boylston Street, Boston, MA 02215-3909",(370),165,105,34,15,9,$,American,Fast Food,
"Eastern Standard, Boston","528 Commonwealth Ave Hotel Commonwealth, Boston, MA 02215-2606","(1,436)",692,480,142,45,23,$$ - $$$,American,Vegetarian Friendly,Vegan Options
"Panza, Boston","326 Hanover St, Boston, MA 02113-1901",(732),399,195,58,26,21,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Trattoria Il Panino, Boston","11 Parmenter St 280 Hanover St, Boston, MA 02113-2306","(1,095)",562,254,89,53,44,$$ - $$$,Italian,Neapolitan,Campania
"Parker's Restaurant, Boston","60 School St Omni Hotel, Boston, MA 02108-4109",(644),304,197,77,31,13,$$$$,American,Vegetarian Friendly,Gluten Free Options
"Ruth's Chris Steak House, Boston","45 School Street Old City Hall, Boston, MA 02108",(853),406,192,88,53,19,$$$$,American,Steakhouse,Vegetarian Friendly
Boston Chops,"1375 Washington St, Boston, MA 02118-2140",(325),154,92,41,11,4,$$$$,American,Steakhouse,Gluten Free Options
"Thornton's Restaurant, Boston","150 Huntington Ave, Boston, MA 02115-4808",(812),324,273,100,25,16,$,American,Cafe,Vegetarian Friendly
"Lucia Ristorante, Boston","415 Hanover St North End, Boston, MA 02113-1319",(642),310,184,62,25,21,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Ned Devine's Irish Pub, Boston","1 Faneuil Hall Marketplace Faneuil Hall Marketplace, Boston, MA 02109-6117",(636),228,241,84,20,16,$$ - $$$,American,Irish,Bar
"Tamo Bistro & Bar, Boston","1 Seaport Ln, Boston, MA 02210-2013",(294),103,111,42,6,11,$$ - $$$,American,Bar,Contemporary
"Green Dragon Tavern, Boston","11 Marshall St, Boston, MA 02108-2404",(651),213,255,91,25,25,$$ - $$$,American,Bar,Pub
"Last Hurrah, Boston","60 School St, Boston, MA 02108-4109",(235),119,76,19,6,11,$$ - $$$,American,Bar,
"Granary Tavern, Boston","170 Milk St, Boston, MA 02109-3480",(630),202,261,90,27,15,$$ - $$$,American,Bar,Pub
"Legal Sea Foods, Boston","100 Huntington Avenue, Copley Place Copley Place Mall, Boston, MA 02116-6506","(1,173)",391,352,184,70,30,$$ - $$$,American,Seafood,Vegetarian Friendly
"L'Osteria, Boston","104 Salem St, Boston, MA 02113-2213",(415),167,124,60,24,18,$$ - $$$,Italian,Vegetarian Friendly,
"Del Frisco's Double Eagle Steakhouse, Boston","250 Northern Ave Suite 200, Boston, MA 02210-2027",(906),424,215,127,56,39,$$$$,American,Gluten Free Options,
"Gourmet Dumpling House, Boston","52 Beach St, Boston, MA 02111-2020",(622),246,193,59,40,27,$,Chinese,Asian,Szechuan
"Vee Vee, Boston","763 Centre St Jamaica Plain, Boston, MA 02130-2557",(80),60,18,1,0,0,$$ - $$$,American,Vegetarian Friendly,Vegan Options
"Sportello, Boston","348 Congress St, Boston, MA 02210-1204",(311),142,98,33,16,9,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Strega Italiano Back Bay, Boston","64 Arlington St Boston Park Plaza Hotel, Boston, MA 02116-3901",(241),117,52,28,14,5,$$$$,Steakhouse,Vegetarian Friendly,
"Brown Sugar Cafe, Boston","1033 Commonwealth Ave, Boston, MA 02215-1001",(184),100,53,16,5,3,$$ - $$$,Asian,Thai,Vegetarian Friendly
"Harvard Gardens, Boston","316 Cambridge St, Boston, MA 02114-3125",(184),72,73,16,8,4,$$ - $$$,American,Bar,Pub
"Legal Crossing, Boston","558 Washington St, Boston, MA 02111-1733",(509),203,156,58,36,6,$$ - $$$,American,Bar,Seafood
