name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible
"Doughboy Donuts and Deli, Boston","220 Dorchester Ave, Boston, MA 02127-1823",-20,12,6,2,0,0
"Subway, Boston","31 Saint James Ave Suite 110, Boston, MA 02116",-21,7,3,2,1,0
"Dunkin', Boston","330 Congress St Ste 1, Boston, MA 02210",-16,3,5,2,1,3
"Clover, Boston","27 School St, Boston, MA 02108-4633",-31,21,3,0,1,1
"Bbq Chicken, Boston","182 Harvard Ave, Boston, MA 02134-2806",,,,,,
"Tiger Sugar, Boston","181 Harvard Ave Boston, Boston, MA 02134-2801",,,,,,
"Chilacates, Boston","4257 Washington St Roslindale, Boston, MA 02131-3018",,,,,,
"Tasty Burger, Boston","48 Winter St, Boston, MA 02108-4712",,,,,,
"Popeyes Louisiana Kitchen, Boston","1630 Vfw Parkway, Boston, MA 02132",,,,,,
"Sammy Carlo's Delicatessen & Catering, Boston","567 Bennington St, Boston, MA 02128-1554",,,,,,
"Papa John's Pizza, Boston","522 River St, Boston, MA 02126-3014",,,,,,
"Yelus, Boston","116 Washington St, Boston, MA 02121-3615",,,,,,
"Taqueria, Boston","181 Cambridge St Whole Foods, Boston, MA 02114-2786",,,,,,
"Cappy's Pizza & Subs, Boston","304 Centre St, Boston, MA 02130-1434",,,,,,
"Dunkin', Boston","1800 Hyde Park Ave, Boston, MA 02136",,,,,,
"Revolution Health Kitchen, Boston","150 Huntington Ave, Boston, MA 02115-4808",-11,9,1,0,0,0
"High Spot Deli, Boston","10 Beacon St, Boston, MA 02108-3778",-23,4,15,1,1,0
"University House of Pizza, Boston","452 Huntington Ave, Boston, MA 02115-5601",-17,7,5,1,1,1
"Burger King, Boston","10 Saint James Ave, Boston, MA 02116-3813",-4,0,0,2,0,0
"Moogy's Sandwich Shop, Boston","154 Chestnut Hill Ave, Boston, MA 02135-4639",-15,7,3,4,0,1
"McDonald's, Boston","185 Franklin St, Boston, MA 02110-1511",-2,0,0,1,0,1
"Dunkin', Boston","214 N. Beacon St, Boston, MA 02135",-1,0,0,0,0,1
"La Baguette Marche, Boston","Airport Road Terminal a, Ticketing Area, Boston, MA 02128",-20,2,4,6,1,7
